Grave ID,site,type ,period ,secondary,primary ,dimensions ,orientation,drinking vessel ,remains,drinking vessel number,skulls number ,area of chamber estimated,region
vapheio_tholos,Vapheio ,tholos, LHIIA-LHIIIA1,absent ,absent ,"83.28m^2. dromos: L 29.8m x w3.18-3.45, stomion: L 4.56m x w1.93m x h4.2m, pit in somion: l1.93m x w1.6-1.8m x d1.9m, chamber: o10.12-10.35m x h3-3.5 preserved, cist: l2.25m x w1.1m x d1m",NE-SW,yes,yes,6,NA,84.13,laconia 
arkynes_tholos_A,Arkynes ,tholos ,LHIIIA- LHIIIB,absent ,absent ,"dromos: L2.65m, stomion:d2.8m, w0.78m, h1.16-1.3m; chamber:o4.7m, h3.75m",SE-NW,no,yes,NA,NA,17.35,laconia 
arkynes_tholos_B,Arkynes ,tholos ,LHIII,absent ,present,dromos: h0.75m,NA,no,yes,NA,NA,NA,laconia 
arkynes_tholos_C,Arkynes ,tholos ,LHIIIA-LHIIIB,present,absent ,"stomion: d.2-3m, w1.2-1.3, h1.5m chamber: o6m, h1.5m ",NA,no,yes,NA,NA,28.274,laconia 
SpartiPolytholos_tholos,Sparti: Polydendron ,tholos,LHIIA-LHIIIA2,present,present,"Dromos: l2.25m: stomion: d0.7m. Chamber: o3.15m and 4.3m(external), h 1m preserved, thickness of tholos walls: .6m",E-W,no,yes,NA,NA,7.793,laconia 
dromos_of_tholos_sparti,Sparti: Polydendron ,dromos of tholos,LHIIB-LHIIIA,absent ,absent ,NA,N-S,no,no,NA,NA,NA,laconia 
1pellanaplundered,Pellana ,chamber tomb ,LH,absent ,absent ,"chamber: o4.83m, h c 4m",W-E,no,no,NA,NA,18.322,laconia 
2pellanaplundered,Pellana ,chamber tomb ,LHIIA- submycenaean,present,present,"dromos: l4.5m, w2m, h up to 2.5m. stomion: h2.5m, chamber: o 5.67m, h c 5m",W-E,yes,yes,4,NA,25.25,laconia 
3pellanabaddamage,Pellana ,chamber tomb ,LH,absent ,absent ,NA,NA,no,no,NA,NA,NA,laconia 
4greattombpellana,Pellana ,chamber tomb,LHIIA-LHIIIB,present,absent ,"dromos: l12.8m (left wall) 13.5m (right wall) w2.55m and 2.3m at outer end, h5.4m Stomion:h5.4m chamber: o10.1m, h c 6m(perhaps 10+) ",NW-SE,no,yes,NA,NA,80.12,laconia 
5pellanachamber,Pellana ,chamber tomb,LHIIIA2-LHIIIB,present,present,"Dromos: l.6.5m w1.7m h up to 2.5m Stomion: w1.2m d1.6m Chamber: o6.3-6.35m Pit:1:l1.13m,w0.85-1.7m d1.3m Ledge: w0.18m-.2m",NW-SE,yes,yes,5,NA,31.67,laconia 
6pellanaplundered,Pellana ,chamber tomb,LHIIIA1-LHIIIB,present,present,"dromos: l6.5m,w1.7m, h up to2.5m. stomion: w1.2m, d1.6m. Chamber: 06,27m. Pit 1: l2.2m, w0.6m d1.2m. Pit 2: l1.25m, w0.6m, d0.55m. pit 3: l1.1m, w0.45m, d0.48m. Pit 4: l1.15m w0.65m, d0.45m. Pit-niche: l1.9m, w1.1m, d0.48m",W-E,no,yes,NA,NA,30.876,laconia 
7pellanadromos,Pellana ,chamber tomb,LHIIA-LHIIIB1,absent ,absent ,"dromos: l18.5m, w1.12-1.4m, d >6m",W-E,no,no,NA,NA,NA,laconia 
1AS_smallchamber,Amyklai: Spelakia,chamber tomb ,LHIIIA-LHIIIB,absent ,absent ,"stomion: w0.77m, h1.07m. Burial chamber: l1.9m, w2.77m, h1.85m",NA,yes,no,7,NA,NA,laconia 
