period_code,period_name,chronological_order,earliest_component,latest_component
NA,NA,NA,NA,NA
MH,Middle Helladic,1,MH,MH
MH-LHI,Middle Helladic-Late Helladic I,2,MH,LHI
MH-LHIII,Middle Helladic-Late Helladic III,3,MH,LHIII
MH-LHIIIA1,Middle Helladic-Late Helladic IIIA1,4,MH,LHIIIA1
MHII,Middle Helladic II,5,MHII,MHII
MHII-MHIII,Middle Helladic II-Middle Helladic III,6,MHII,MHIII
MHIII,Middle Helladic III,7,MHIII,MHIII
MHIII-LHI,Middle Helladic III-Late Helladic I,8,MHIII,LHI
MHIII- LHI,Middle Helladic III-Late Helladic I,8,MHIII,LHI
"MHIII, LHI-LHIIIC","Middle Helladic III, Late Helladic I-Late Helladic IIIC",9,MHIII,LHIIIC
MHIIIB,Middle Helladic IIIB,10,MHIIIB,MHIIIB
LH,Late Helladic,11,LH,LH
LHI,Late Helladic I,12,LHI,LHI
LHI-LHII,Late Helladic I-Late Helladic II,13,LHI,LHII
LHI-LHIIA,Late Helladic I-Late Helladic IIA,14,LHI,LHIIA
"LHI-II, LHIIIB","Late Helladic I-Late Helladic II, Late Helladic IIIB",15,LHI,LHIIIB
LHI-LHIII,Late Helladic I-Late Helladic III,16,LHI,LHIII
LHI- LHIIIC,Late Helladic I-Late Helladic IIIC,17,LHI,LHIIIC
LHI-submycenaean,Late Helladic I-submycenaean,18,LHI,submycenaean
LHII,Late Helladic II,19,LHII,LHII
LH II,Late Helladic II,19,LHII,LHII
LHII-LHIIIA1,Late Helladic II-Late Helladic IIIA1,20,LHII,LHIIIA1
LHIIA,Late Helladic IIA,21,LHIIA,LHIIA
LHIIA-LHIII,Late Helladic IIA-Late Helladic III,22,LHIIA,LHIII
LHIIA-LHIIB,Late Helladic IIA-Late Helladic IIB,23,LHIIA,LHIIB
LHIIA-LHIIIA1,Late Helladic IIA-Late Helladic IIIA1,24,LHIIA,LHIIIA1
LHIIA-LHIIIA2,Late Helladic IIA-Late Helladic IIIA2,25,LHIIA,LHIIIA2
LHIIA-LHIIIB,Late Helladic IIA-Late Helladic IIIB,26,LHIIA,LHIIIB
LHIIA-LHIIIB1,Late Helladic IIA-Late Helladic IIIB1,27,LHIIA,LHIIIB1
LHIIA-LHIIIC,Late Helladic IIA-Late Helladic IIIC,28,LHIIA,LHIIIC
LHIIA-submycenaean,Late Helladic IIA-submycenaean,29,LHIIA,submycenaean
LHIIA- submycenaean,Late Helladic IIA-submycenaean,29,LHIIA,submycenaean
LHIIB,Late Helladic IIB,30,LHIIB,LHIIB
LHIIB-LHIII,Late Helladic IIB-Late Helladic III,31,LHIIB,LHIII
LHIIB-LHIIIA,Late Helladic IIB-Late Helladic IIIA,32,LHIIB,LHIIIA
LHIIB-LHIIIA1,Late Helladic IIB-Late Helladic IIIA1,33,LHIIB,LHIIIA1
LHIIB- LHIIIA1,Late Helladic IIB-Late Helladic IIIA1,33,LHIIB,LHIIIA1
LHIIB-LHIIIB,Late Helladic IIB-Late Helladic IIIB,34,LHIIB,LHIIIB
LHIII,Late Helladic III,35,LHIII,LHIII
LHIIIA,Late Helladic IIIA,36,LHIIIA,LHIIIA
LHIIIA-LHIIIB,Late Helladic IIIA-Late Helladic IIIB,37,LHIIIA,LHIIIB
LHIIIA-LHIIIC,Late Helladic IIIA-Late Helladic IIIC,38,LHIIIA,LHIIIC
LHIIIA-LHIIIC1,Late Helladic IIIA-Late Helladic IIIC1,39,LHIIIA,LHIIIC1
LHIIIA1,Late Helladic IIIA1,40,LHIIIA1,LHIIIA1
LHIIIA1-LHIIIB,Late Helladic IIIA-Late Helladic IIIB,41,LHIIIA1,LHIIIB
LHIIIA1-LHIIIB1,Late Helladic IIIA-Late Helladic IIIB1,42,LHIIIA1,LHIIIB1
LHIIIA2,Late Helladic IIIA2,43,LHIIIA2,LHIIIA2
LHIIIA2-LHIIIB,Late Helladic IIIA2-Late Helladic IIIB,44,LHIIIA2,LHIIIB
LHIIIA2-IIIB,Late Helladic IIIA2-Late Helladic IIIB,44,LHIIIA2,LHIIIB
LHIIIA2-LHIIIB1,Late Helladic IIIA2-Late Helladic IIIB1,45,LHIIIA2,LHIIIB1
LHIIIA2-LHIIIC,Late Helladic IIIA2-Late Helladic IIIC,46,LHIIIA2,LHIIIC
LHIIIB,Late Helladic IIIB,47,LHIIIB,LHIIIB
LHIIIC,Late Helladic IIIC,48,LHIIIC,LHIIIC
